algorithm_key,model_name,default_threshold,default_accuracy,default_precision,default_recall,default_f1,best_threshold,best_accuracy,best_precision,best_recall,best_f1
logistic_regression,logistic_regression,0.5,0.728500355366027,0.49331103678929766,0.7887700534759359,0.6069958847736625,0.3799999999999999,0.6830135039090263,0.45148247978436656,0.8957219251336899,0.600358422939068
naive_bayes,gaussian_naive_bayes,0.5,0.7043354655294953,0.4672897196261682,0.8021390374331551,0.5905511811023622,0.12,0.6922530206112296,0.4562962962962963,0.8235294117647058,0.5872259294566253
decision_tree,decision_tree,0.5,0.7313432835820896,0.4965986394557823,0.7807486631016043,0.6070686070686071,0.3899999999999999,0.7313432835820896,0.4965986394557823,0.7807486631016043,0.6070686070686071
random_forest,random_forest,0.5,0.7633262260127932,0.5394990366088632,0.7486631016042781,0.6270996640537514,0.29999999999999993,0.6858564321250888,0.4523809523809524,0.8636363636363636,0.59375
