algorithm_key,model_name,best_score_cv,accuracy,precision,recall,f1_score,best_params
logistic_regression,logistic_regression,0.6335797831313481,0.728500355366027,0.49331103678929766,0.7887700534759359,0.6069958847736625,"{""model__C"": 50, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}"
naive_bayes,gaussian_naive_bayes,0.6081609852590862,0.7043354655294953,0.4672897196261682,0.8021390374331551,0.5905511811023622,"{""model__var_smoothing"": 1e-12}"
decision_tree,decision_tree,0.6223381492377056,0.7313432835820896,0.4965986394557823,0.7807486631016043,0.6070686070686071,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""entropy"", ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2}"
random_forest,random_forest,0.6408483077813358,0.7633262260127932,0.5394990366088632,0.7486631016042781,0.6270996640537514,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 2, ""model__n_estimators"": 200}"
